M,I,v,S,A,E_f,V_i,V_f,Q_i,Q_f,Ierr,g_i,g_f,DOI
26,1,263.60803400000077,2.678471974807078e-35,1.6553999999999999e-06,5119.289158,0 1 0 0 2 0 1E1u,0 1 0 0 0 0 2A1g,15A1u  1E1g,16A1g  0A1g,0.0008062257748298549,31,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,263.73839099999896,1.9497783350089807e-41,8.5176e-07,7740.677058,2 1 0 1 0 0 0E1u,1 1 0 2 0 2 0A1g,2A2u  1E1g,3A2g  0A2g,0.0009486832980505138,15,21,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,264.98275100000046,6.289753284105475e-43,2.3982000000000003e-08,7907.8068920000005,0 2 0 0 1 0 1E2g,1 1 0 2 0 0 2A2u,6A2g  2E2g,6A2u  0A1g,0.0007071067811865475,39,39,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,265.92068800000015,9.251602540009306e-35,1.7203e-06,5081.77316,0 1 0 0 2 0 1E1u,0 1 0 0 0 0 2A1g,14A2u  1E1g,15A2g  0A2g,0.0006403124237432849,87,93,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,266.00823800000035,1.1677405010952173e-35,1.6965e-07,4964.494315,0 1 0 0 2 0 1E1u,0 1 0 0 1 0 1E2g,10A2u  1E1g,11A2g  2E2g,0.001140175425099138,63,69,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,266.9149189999998,1.5160668830908226e-39,2.708e-06,7148.478669,1 1 0 0 0 3 0E1g,0 2 0 0 0 0 1E1u,3A2g  1E1g,2A2u  1E1g,0.001140175425099138,21,15,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,268.3036170000005,3.4866653516593517e-44,1.6634e-09,8176.059587999999,0 2 0 0 1 1 0A1u,0 2 0 0 1 0 1E2g,19A2u  0A2g,20A2g  2E2g,0.001,117,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,268.34276800000043,1.7274054996086764e-44,5.9439e-10,7882.772257,1 1 0 4 0 0 0A2u,0 2 0 1 1 0 0E2g,6A2u  0A1g,5A2g  2E2g,0.0006403124237432849,39,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,270.60005100000126,3.0987798717990735e-35,3.5835000000000003e-07,4722.074315999999,0 1 0 0 1 0 1E2g,0 1 0 1 0 1 0A2u,12A1g  2E2g,13A1u  0A2g,0.0010630145812734648,25,27,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,270.7244640000008,1.930057668711669e-42,7.4382e-08,8221.376140999999,1 1 0 0 0 3 0E1g,0 2 0 0 0 0 1E1u,30A2g  1E1g,30A2u  1E1g,0.0006324555320336758,183,183,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,271.52322599999843,8.03302375929189e-41,9.917900000000001e-07,7904.536362000001,0 2 0 0 1 0 1E2g,0 2 0 1 0 0 0E1u,20A2g  2E2g,20A2u  1E1g,0.001,123,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,272.69763500000045,7.087322815186607e-42,1.3191999999999998e-06,8149.396923,0 2 0 0 2 1 0E1u,0 2 0 0 0 0 2A1g,4A2u  1E1g,5A2g  0A2g,0.0007280109889280518,27,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
